chat_id,session_id,player_id,game_id,message,sent_at
1,55898,1478,1,that was close,2026-03-11T04:18:34Z
2,10730,2789,5,lag spike,2025-10-21T02:11:01Z
3,35353,7254,2,good round,2025-09-26 09:08:54
4,47137,6122,4,,2025/10/27 02:42
5,7847,9059,2,lag spike,2025-08-09 13:20:13
6,40140,2582,3,need backup,2026-02-11T16:55:31Z
7,99721,7111,1,gg,09/26/2025 05:27:06 AM
8,33795,3650,5,gg,2025-10-13T02:45:06Z
9,86113,9706,5,lag spike,05/02/2026 01:30:22 AM
10,55910,5553,5,omw,1770510659
11,29480,5279,2,lag spike,1764028321
12,23565,8822,1,clutch,11/18/2025 03:28:49 AM
13,92966,1614,5,need backup,1764476422
14,8780,8622,1,where are you,2026-02-12 04:34:46
15,23145,4994,4,lag spike,2026/02/24 22:09
16,5602,2323,3,omw,06/10/2025 01:27:01 PM
17,48546,171,2,clutch,2025-12-20T19:57:30Z
18,77104,2406,3,where are you,
19,59944,77,5,lag spike,2026-01-12T11:54:48Z
20,80684,2049,3,,1765337725
21,5128,7,2,that was close,1777244750
22,52465,8050,4,gg,2026-03-17 19:05:42
23,87685,9154,4,gg,2025/05/10 14:11
24,61270,7883,4,nice play,
25,21801,1599,3,need backup,1765238755
26,35945,3357,2,that was close,2025-10-06T14:52:41Z
27,47209,2657,4,omw,2025-10-06T22:08:11Z
28,70478,1001,3,lag spike,2025-06-26 13:58:08
29,50158,6392,1,where are you,2025/09/18 10:23
30,81543,7543,2,gg,2026-02-24 14:52:48
31,39179,2116,4,bruh,1772333760
32,73022,2140,1,that was close,1772175613
33,21186,4481,3,nice play,03/24/2026 06:14:48 AM
34,69686,1637,5,clutch,2025-08-13 02:54:38
35,75933,1641,5,gg,2025-10-15 04:43:10
36,43880,5430,2,that was close,03/19/2026 05:55:56 AM
37,65275,9681,5,omw,2025-05-18 02:20:39
38,51195,5039,1,gg,12/01/2025 06:07:09 AM
39,18569,5544,2,omw,1757407004
40,15754,1032,2,that was close,2025/09/13 00:17
41,56425,7738,5,bruh,2025-07-28T19:19:06Z
42,97487,1338,1,that was close,2025/08/31 00:57
43,78422,5000,5,lag spike,11/08/2025 10:41:57 PM
44,74416,4537,5,omw,2026-04-03T17:17:28Z
45,94959,5822,2,good round,1751810042
