session_id,player_id,game_id,score,duration
1,5555,2,23,264
2,2729,4,73,280
3,5728,1,106,464
4,6190,3,860,145
5,3242,3,719,455
6,5075,2,556,394
7,6940,2,194,33
8,2966,1,927,187
9,6365,1,717,175
10,2209,1,981,98
11,5788,3,-7,484
12,323,4,180,428
13,2066,2,729,16
14,9397,3,674,146
15,243,2,729,193
16,7852,4,812,223
17,9824,4,955,299
18,4350,1,146,332
19,6566,2,-82,126
20,557,2,154,97
21,5699,3,841,41
22,8282,2,608,
23,2376,1,123,36
24,3385,1,1,448
25,9993,1,224,62
26,832,1,903,118
27,8044,1,313,483
28,8046,2,4,381
29,3848,4,396,363
30,1397,2,550,311
31,6296,3,67,276
32,2675,2,467,119
33,2195,1,351,195
34,8155,3,179,336
35,2597,1,183,341
36,22,4,72,135
37,677,3,-90,145
38,9266,1,671,146
39,2208,2,697,252
40,8674,4,158,349
41,6961,3,192,145
42,4166,1,40,36
43,3566,4,653,324
44,2709,3,543,451
45,6284,1,325,55
46,6422,3,680,466
47,2301,3,42,195
48,1185,3,231,95
49,1647,1,261,139
50,2918,3,639,361
51,4583,1,305,72
52,3135,3,482,35
53,6136,2,567,80
54,2849,1,741,245
55,7480,1,531,427
56,9596,2,624,430
57,4010,4,310,141
58,9436,1,612,167
59,111,1,960,444
60,219,4,158,204
61,4734,2,131,412
62,5346,3,837,388
63,5552,1,548,413
64,4652,3,559,378
65,2140,4,67,463
66,8205,4,854,
67,6782,4,299,140
68,5104,3,285,82
69,4514,4,136,88
70,6762,3,778,
71,6236,1,925,45
72,2167,1,645,405
73,8135,4,941,350
74,951,3,679,411
75,919,4,663,300
76,4815,3,965,451
77,6823,1,529,358
78,6412,3,19,205
79,6374,3,139,229
80,1088,3,-89,423
81,6084,2,199,271
82,2779,4,95,370
83,713,2,656,245
84,1073,1,801,15
85,1992,2,1000,341
86,1799,1,84,62
87,6147,2,900,451
88,426,2,-84,471
89,4700,4,444,129
90,1486,2,612,224
91,7658,2,998,383
92,2939,4,50,262
93,2825,4,141,97
94,2443,4,548,
95,3704,2,106,33
96,3342,1,122,417
97,7995,4,21,
98,4573,4,525,58
99,8338,4,66,358
100,2439,2,346,368
101,3200,1,880,216
102,5069,1,51,351
103,8041,4,7,15
104,6734,3,167,437
105,5183,3,92,93
106,569,4,967,153
107,9208,1,791,91
108,3655,3,274,491
109,2955,3,121,321
110,5392,3,560,252
111,4146,4,896,347
112,4155,1,996,
113,4651,2,292,331
114,5613,3,83,184
115,2375,4,981,271
116,8458,4,407,61
117,6230,2,91,270
118,4605,2,285,190
119,5739,2,591,118
120,9579,4,556,101
121,5272,1,889,126
122,5536,3,288,364
123,8027,2,942,26
124,3890,4,197,403
125,702,3,851,116
126,2607,3,398,35
127,9350,1,627,200
128,3886,2,335,465
129,2583,1,216,56
130,9040,3,965,409
131,2473,1,626,291
132,2898,1,23,460
133,4275,2,638,121
134,3107,1,411,343
135,1685,1,145,478
136,9799,4,408,66
137,7917,4,401,236
138,4820,1,232,112
139,5685,1,767,283
140,6755,3,738,173
141,476,3,707,73
142,9227,1,829,28
143,6108,4,132,325
144,5778,4,680,471
145,898,4,930,385
146,5947,4,426,50
147,5667,1,664,423
148,2055,4,276,268
149,8280,1,411,301
150,9415,2,608,235
151,1905,4,132,116
152,4977,1,762,349
153,5027,4,519,153
154,8129,4,660,496
155,679,4,251,340
156,8133,3,614,94
157,9606,2,456,335
158,3087,4,25,294
159,6636,1,990,339
160,3598,1,486,31
161,6643,1,629,403
162,4375,3,647,306
163,5951,2,870,176
164,5347,2,66,
165,6871,1,700,351
166,1854,3,869,227
167,5280,4,807,58
168,8977,1,837,340
169,1332,3,904,36
170,4466,4,564,128
171,7056,3,929,479
172,6210,2,650,455
173,1313,2,992,417
174,5124,4,945,447
175,3230,3,320,438
176,5870,3,734,314
177,6131,1,982,405
178,289,3,996,64
179,9771,3,731,391
180,767,2,432,255
181,4546,2,619,120
182,4399,4,644,154
183,8909,4,674,332
184,7301,2,741,436
185,9180,1,851,29
186,5872,2,978,205
187,6620,1,359,157
188,8465,2,879,169
189,3868,2,98,318
190,2904,1,627,131
191,3730,2,419,358
192,8505,1,-90,17
193,5217,3,524,455
194,6599,4,-89,410
195,981,4,421,496
196,6095,3,575,10
197,1050,2,105,447
198,1769,3,0,321
199,7424,2,109,398
200,9516,4,315,391
201,5644,1,60,54
202,547,1,809,289
203,8772,4,-62,157
204,6821,3,74,329
205,3431,2,129,149
206,6081,3,536,275
207,1228,4,828,361
208,1447,4,911,480
209,1682,4,83,
210,8725,1,506,74
211,1716,1,790,327
212,4287,4,138,459
213,1301,3,251,299
214,4492,3,804,291
215,41,2,656,165
216,8347,1,653,203
217,116,4,682,90
218,3492,3,225,378
219,8061,4,160,123
220,3558,3,-83,473
221,5052,4,701,443
222,5200,2,810,62
223,3378,4,305,125
224,2002,2,-38,105
225,2420,4,226,12
226,6651,4,829,
227,2528,4,911,402
228,4369,3,847,244
229,8754,1,945,336
230,699,3,990,325
231,9799,3,421,420
232,5448,1,739,21
233,8244,2,729,263
234,1376,4,422,246
235,2967,4,528,285
236,3792,4,360,190
237,6294,2,125,131
238,9254,1,316,257
239,6622,4,160,237
240,3950,4,673,440
241,2884,2,416,256
242,5100,2,817,232
243,5613,2,529,422
244,1580,3,513,146
245,2445,2,4,391
246,1791,3,44,382
247,8228,1,3,68
248,4732,2,762,156
249,9925,1,815,53
250,4588,1,663,264
251,5171,4,978,68
252,9016,4,694,494
253,8654,2,493,48
254,2380,4,731,25
255,4488,2,371,147
256,9695,2,735,11
257,7977,1,544,340
258,8833,3,404,467
259,6299,4,788,85
260,9802,2,501,358
261,9012,4,106,416
262,5395,2,894,89
263,3160,1,956,280
264,8402,2,510,440
265,2938,2,307,79
266,3334,1,991,435
267,3018,4,887,218
268,7293,1,754,111
269,2911,4,766,453
270,1637,2,885,
271,3429,3,969,52
272,3062,4,-80,
273,5328,1,577,34
274,9003,2,126,27
275,4054,1,657,475
276,9777,3,768,97
277,9497,3,836,
278,6959,4,14,466
279,3448,1,943,357
280,3737,1,487,228
281,2412,1,564,54
282,8432,4,993,151
283,2566,1,425,245
284,2857,1,206,202
285,9513,4,213,305
286,1323,2,968,337
287,1824,3,920,258
288,6571,1,617,156
289,8026,4,817,435
290,2355,4,279,399
291,3274,3,644,411
292,5928,3,866,307
293,3233,2,971,53
294,9498,3,478,328
295,1839,2,464,288
296,4301,4,267,265
297,6679,1,802,191
298,9804,1,1,
299,8147,1,371,43
300,1464,4,476,237
301,1187,1,293,388
302,2512,3,345,64
303,5990,1,920,363
304,876,1,789,302
305,711,3,485,348
306,1579,3,299,164
307,7847,4,916,
308,5286,3,700,261
309,8037,3,28,469
310,2685,3,870,390
311,2329,1,201,52
312,2800,4,941,369
313,8260,1,711,320
314,7897,3,582,190
315,4608,3,345,296
316,1931,3,142,298
317,5310,4,395,230
318,9575,1,651,26
319,1237,2,352,119
320,4016,1,819,88
321,64,1,-54,149
322,8023,1,534,38
323,9751,3,696,18
324,6893,2,885,238
325,671,1,997,224
326,3060,2,306,182
327,4813,1,-62,99
328,2739,4,417,
329,9809,2,676,308
330,4565,4,92,229
