nohup: ignoring input
======================================
Game Server (multi-instance)
======================================
Port:      50072
Max/room:  30 players
Serializer: TextSerializer
======================================

Server running. Waiting for clients...
Press Ctrl+C to stop.


[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

[STATUS] rooms=0 total_players=0

